"Paper_ID","title","author","id"
"6606","Getting started with PHP and smarty.","Ryan Nauman","16961"
"6607","The chilling tale of copyright law in online creative communities.","Casey Fiesler","16962"
"6608","Server virtualization architecture and implementation.","Jeff Daniels","16963"
"6609","ICTD at the University of California Berkeley.","Nithya Sambasivan","16964"
"6610","Are you a good match for ","Inbal Talgam-Cohen|Peter Kinnaird","16965"
"6611","CyLab Usable Privacy and Security Laboratory (Pittsburgh, PA).","Rich Shay","16966"
"6612","Coordination When Information is Scarce: How privacy can help.","Aaron Roth","16967"
"6613","Mixing things up.","Chris Harrison","16968"
"6614","Map-based navigation in a graphical MOO.","Doug A. Bowman|John M. Carroll|Wendy A. Schafer","16969"
"6615","Introduction.","Justin Solomon","16970"
"6616","Privacy challenges and solutions in the social web.","Aris Gkoulalas-Divanis|Grigorios Loukides","16971"
"6617","Heads in the cloud.","Greg Little|Jeffrey P. Bigham|John Joseph Horton|Lydia B. Chilton|Max Goldman|Michael S. Bernstein|Rajeev Nayak|Robert C. Miller","16972"
"6618","Robotic vacuums.","Finn Kuusisto","16973"
"6619","A day in the life of...Jennifer Lai.","Jennifer C. Lai","16974"
"6620","A hybrid system for code switch point detection in informal Arabic text.","Heba Elfardy|Mohamed Al-Badrashiny|Mona T. Diab","16975"
"6621","Data security in the cloud environment.","Dimitris Mitropoulos","16976"
"6622","At a crossroads: plagiarism.","Chris Jordan","16977"
"6623","Eureka! past, present, and future of creativity research in HCI.","Umer Farooq","16978"
"6624","The Sims 2: open for business: lessons learned about business and life.","Chris Dondanville","16979"
"6625","Finding yourself using geolocation and the Google Maps API.","Colin J. Ihrig","16980"
"6626","On constructing the tree of life.","Marinka Zitnik","16981"
"6627","Making a scene: people and artificial intelligence improvising together.","Brian O'Neill","16982"
"6628","The curious case of a sick google glass.","Wolfgang Richter","16983"
"6629","Timing attacks on RSA: revealing your secrets through the fourth dimension.","Wing H. Wong","16984"
"6630","The problem of money as a measuring stick.","James W. Kolari|Mikhail V. Sokolov|Nikolai V. Hovanov","16985"
"6631","MultiVizArch: multiple graphical layouts for visualizing software architecture.","Amit P. Sawant|Naveen Bali","16986"
"6632","Using the Twitter API to mine the Twitterverse.","Robert Aboukhalil","16987"
"6633","The bioinformatics revolution.","David Sigfredo Angulo","16988"
"6634","Tracking how we read: activity recognition for cognitive tasks.","Kai Kunze","16989"
"6635","A day in the life of... Stuart Cheshire.","Stuart Cheshire","16990"
"6636","Computational origami: a creative blend of mathematics and art.","Michael Zuba|Nick DePalma","16991"
"6637","Announcing the ","Inbal Talgam-Cohen|Peter Kinnaird","16992"
"6638","Mixed nuts: atypical classroom techniques for computer science courses.","Sid Stamm","16993"
"6639","Voices in ICT for development.","Nithya Sambasivan","16994"
"6640","Cognitive science: at the crossroads of computers and the mind.","Ronald L. Boring","16995"
"6641","Nairobi-Kenya ACM-W student chapter: the challenges and rewards of building a new student chapter.","Ben Deverett","16996"
"6642","Jump-starting your bioinformatics career as an undergraduate: one student's approach.","Mike Verdicchio","16997"
"6643","Associative memory and the board game Quarto.","Zachary A. Kissel","16998"
"6644","Identifying spam without peeking at the contents.","Salvatore J. Stolfo|Shlomo Hershkop","16999"
"6645","Introduction.","William Stevenson","17000"
"6646","Tracing the development of denial of service attacks: a corporate analogy.","Yanet Manzano","17001"
"6647","The effects of piracy in a university setting.","Joseph Nyiri","17002"
"6648","Airwriting: bringing text entry to wearable computers.","Christoph Amma|Tanja Schultz","17003"
"6649","An interview with Peter Levine: academics as founders, teaching entrepreneurship.","Asaf Cidon|Tomer London","17004"
"6650","Sustainable sensing for a smarter planet.","Prabal Dutta","17005"
"6651","The well-programmed clavier: style in computer music composition.","David Cope","17006"
"6652","What can gold farmers teach us about criminal networks?","Brian Keegan|Dmitri Williams|Jaideep Srivastava|Muhammad Aurangzeb Ahmad|Noshir S. Contractor","17007"
"6653","GrowFood.org: sustainability, food, technology, and social networking.","Ethan Schaffer","17008"
"6654","Security, anonymity and trust in electronic auctions.","Jarrod Trevathan","17009"
"6655","Spotlight: an interview with 2006 turing award winner Frances E. Allen.","Daniel Alex Finkelstein","17010"
"6656","Profile John Resig: origins of the JavaScript ninja.","Michael S. Bernstein","17011"
"6657","Obfuscation of the standard XOR Encryption algorithm.","Zachary A. Kissel","17012"
"6658","More than just computer science: creative activities at ACM student chapters.","Ben Deverett","17013"
"6659","The sensorium.","Erin Treacy Solovey|Evan Peck","17014"
"6660","Four down.","Chris Harrison","17015"
"6661","About the redesign: The path to the new XRDS.","James Stanier","17016"
"6662","Ethics and tactics of professional crowdwork.","Joel Ross|Lilly Irani|M. Six Silberman","17017"
"6663","Dynamic displays.","Chris Harrison|Scott E. Hudson","17018"
"6664","","Debarka Sengupta","17019"
"6665","Motion planning for skateboard-like robots in dynamic environments.","Salik Syed","17020"
"6666","Introduction to automatic design of wireless networks.","K. E. Oliver","17021"
"6667","An interview with Surajit Chaudhuri.","Aditya G. Parameswaran","17022"
"6668","Detecting steganography on a large scale.","William Ella","17023"
"6669","Computer security and intrusion detection.","Khaled Labib","17024"
"6670","On the complexity of Katamari Damacy.","Gregory M. Zaverucha","17025"
"6671","","Inbal Talgam-Cohen|Peter Kinnaird","17026"
"6672","Tips for going green.","Ben Deverett","17027"
"6673","How you can change the world.","Connor Bain","17028"
"6674","ACM chapter news: from Ontario to Hyderabad.","Vaggelis Giannikas","17029"
"6675","What is Bitcoin?","Dominic Hobson","17030"
"6676","Better safe than sorry: backup your backups.","Dimitris Mitropoulos","17031"
"6677","In Memory of David Huffman.","Kevin Fu","17032"
"6678","A computer scientist's introductory guide to business process management (BPM).","Ryan K. L. Ko","17033"
"6679","TigerEvents: an online event calendar system for students by students.","Chris Jordan|Oliver Baltzer|Sean Smith","17034"
"6680","Introduction.","William Stevenson","17035"
"6681","A look inside the earth: geophysical imaging of the subsurface.","Gregory A. Newman","17036"
"6682","Modeling online creative collaborations.","Burr Settles|Steven Dow","17037"
"6683","Shared values, clashing goals: journalism and open government.","Sarah Cohen","17038"
"6684","From brains to bytes.","Audrey Girouard|Douglas Weaver|Erin Treacy Solovey|Evan Peck|Francine Lalooses|Krysta Chauncey|Rebecca Gulotta|Robert J. K. Jacob","17039"
"6685","Five programming tips: start your coding career.","Jason Thibodeau","17040"
"6686","Special interest groups.","Daniel Gooch","17041"
"6687","Designing good MapReduce algorithms.","Jeffrey D. Ullman","17042"
"6688","Simulating a Turing machine.","Malay Bhattacharyya","17043"
"6689","Introduction.","Olivier St-Cyr","17044"
"6690","The role of academia in the startup world.","Asaf Cidon|Tomer London","17045"
"6691","Keeping Your Little Back Shop.","Christine Task|Maire Byrne Evans","17046"
"6692","Architecture-centric development: a different approach to software engineering.","Eric M. Dashofy|John C. Georgas|Richard N. Taylor","17047"
"6693","Wearable brain computer interface are we there yet?","Viswam Nathan","17048"
"6694","Image Compression - from DCT to Wavelets : A Review.","Subhasis Saha","17049"
"6695","Community initiatives: ACM student chapters unite communities.","Ben Deverett","17050"
"6696","Networking vehicles for safety: embedding cyber networks in physical networks.","Yaser P. Fallah","17051"
"6697","'Information wants to be free'.","Inbal Talgam-Cohen|Peter Kinnaird","17052"
"6698","D-Lab-ICT: spreading ICT innovation: Cambridge, Massachusetts.","Jonathan Kola","17053"
"6699","Elasticity in the cloud.","David Chiu","17054"
"6700","Grafitter: leveraging social media for self reflection.","Anind K. Dey|Ian Li|Jodi Forlizzi","17055"
"6701","Efficient sensor placement for environmental monitoring.","Marinka Zitnik","17056"
"6702","IT for synthetic biology and DNA nanotechnology.","Fumiaki Tanaka|Ibuki Kawamata|Masami Hagiya","17057"
"6703","Storm-chasing drones.","Eric W. Frew","17058"
"6704","The crossroads community.","Casey Fiesler","17059"
"6705","The nature and limits of computation: a celebration of Alan Turing.","Arefin Huq","17060"
"6706","Using software watermarking to discourage piracy.","Ginger Myles","17061"
"6707","Applying for postgraduate studies.","Vaggelis Giannikas","17062"
"6708","Profile Jeff Dean: Big data at Google.","Edward Z. Yang|Robert J. Simmons","17063"
"6709","Using perception in managing unstructured documents.","Ching Kang Cheng|Xiaoshan Pan","17064"
"6710","New directions in language processing.","Adrian Scoica|Daniel Bauer","17065"
"6711","AmazonViz: visualizing Amazon.com purchase orders.","Amit P. Sawant|Christopher G. Healey|Dongfeng Chen|Rada Chirkova","17066"
"6712","Profile Peter Havelock: how does the world's largest IT company understand diversity?","Adrian Scoica","17067"
"6713","Satellite navigation.","Finn Kuusisto","17068"
"6714","The secret behind the Luhn-ie.","Broderick Causley","17069"
"6715","C-Transformers: a framework to write C program transformations.","Akim Demaille|Alexandre Borghi|Valentin David","17070"
"6716","AI and the rise of gaming middleware: an interview with Pierre Pontevia of Kynogon.","Audrey Christophory","17071"
"6717","LibraryThing: an interview with Tim spalding.","Anna Ritchie","17072"
"6718","A parallel algorithm for DNA alignment.","Rance Necaise|Thomas E. Royce","17073"
"6719","Introduction: computer graphics.","Iren Valova","17074"
"6720","Scientific computing in the age of complexity.","V. Balaji","17075"
"6721","Literary freedom: project Gutenberg.","Bryan Stroube","17076"
"6722","How to be an ""entrepredemic"".","Jonathan Friedman","17077"
"6723","Creativity in code: generating rules for video games.","Michael Cook","17078"
"6724","Inbox.","","17079"
"6725","IBM Research-Almaden: San Jose, California.","Svetlana Yarosh","17080"
"6726","Pseudorandomness and derandomization.","Luca Trevisan","17081"
"6727","Big data.","Aditya G. Parameswaran|Andrew Cron|Huy L. Nguyen","17082"
"6728","Profile Geoffrey Hinton: unlocking the language of the brain.","Adrian Scoica","17083"
"6729","Ask Jack: CareerLine.","Jack Wilson","17084"
"6730","Apple's mouse: 25 years later.","James Stanier","17085"
"6731","Punch cards vs Java.","James Stanier","17086"
"6732","Profile Ken Museth: a career shaped by creativity.","Adrian Scoica","17087"
"6733","The Many Dimensions of the Software Process.","Sebastian Tyrrell","17088"
"6734","Participating in a developer conference: a student's perspective.","","17089"
"6735","Introduction.","Justin Solomon","17090"
"6736","Using software to liberate U.S. case law.","Harlan Yu|Stephen Schultze","17091"
"6737","An interview with Mendel Rosenblum.","Asaf Cidon|Tomer London","17092"
"6738","How to review CS papers.","Santosh Kumar Kalwar","17093"
"6739","Graphics Libraries for Windows Programming.","M. Carmen Juan Lizandra","17094"
"6740","To err is human, to correct is divine.","Mariano Felice|Zheng Yuan","17095"
"6741","Of undergraduates and research.","Robert Aboukhalil","17096"
"6742","Games for extracting randomness.","Moni Naor|Ran Halprin","17097"
"6743","My new PC is a mobile phone.","Christian Holz|Patrick Baudisch","17098"
"6744","Tech pack.","Daniel Gooch","17099"
"6745","MentorNet.","Daniel Gooch","17100"
"6746","Creativity and computing: an ACM student chapter initiative.","Ben Deverett","17101"
"6747","Networking: more fun, less hassle.","Kostas Pentikousis","17102"
"6748","Becoming a virtual organism to learn about genetics.","Alexander Bick","17103"
"6749","Introduction.","William Stevenson","17104"
"6750","Interfaces on the go.","Dan Morris|Desney S. Tan|T. Scott Saponas","17105"
"6751","Programming the future.","James Stanier","17106"
"6752","Mathematics for the masses.","Jason Dyer","17107"
"6753","Interview Tricks from a Professional Recruiter.","Lynellen D. S. Perry","17108"
"6754","Pattern recognition: how hidden bias operates in tech startup culture.","Ana Díaz-Hernández|Freada Kapor Klein","17109"
"6755","Preparing for a job in the games industry: an interview with ensemble studio's Colt McAnlis.","James Stewart","17110"
"6756","Introduction.","Jeremy T. Lanman","17111"
"6757","ACM career and job center.","Daniel Gooch","17112"
"6758","Desktop open source.","Bryan Stroubeé","17113"
"6759","Introduction: WYSIWYG - More or less.","Fernando Berzal Galiano","17114"
"6760","Composing on-demand intelligent PHYsical layers.","Aveek Dutta|Dola Saha","17115"
"6761","An interview with Greg Schwartz.","James Stanier","17116"
"6762","Analyzing the Amazon Mechanical Turk marketplace.","Panagiotis G. Ipeirotis","17117"
"6763","Trends in real-time rendering: an interview with bioware's Ben Earhart.","James Stewart","17118"
"6764","Don't ask me: designing social Q&A services.","Gary Hsieh","17119"
"6765","Drones and the digital panopticon.","Lea Rosen","17120"
"6766","Prostate ultrasound image processing.","Deian Stefan","17121"
"6767","J. Craig Venter Institute: Rockville, Maryland.","Arka Bhattacharya","17122"
"6768","Electrical modeling and simulation for stockpile stewardship.","Eric R. Keiter|Heidi Thornquist|Sivasankaran Rajamanickam","17123"
"6769","The networked vehicle 1.0: integrating electric cars with the nation's power grid.","Jasna Tomic|Steven Letendre|Willet Kempton","17124"
"6770","In the dark, out in the cold.","Jennifer Mankoff|Tawanna Dillahunt","17125"
"6771","Architecting trust-enabled peer-to-peer file-sharing applications.","Girish Suryanarayana|Justin R. Erenkrantz|Mamadou H. Diallo|Richard N. Taylor","17126"
"6772","Rob Bernard: Microsoft's green commitment.","Robert J. Simmons","17127"
"6773","E-commerce recommenders: powerful tools for E-business.","Ana Belén Gil|Francisco García","17128"
"6774","Experimental mobile gateways.","Premshree Pillai","17129"
"6775","WiFi exposed.","Andrea Bittau","17130"
"6776","It's Not About Winning, it's About Sending a Message: Hiding information in games.","Philip C. Ritchey","17131"
"6777","The development of a game playing framework using interface-based programming.","Mark A. Cohen","17132"
"6778","Big privacy: protecting confidentiality in big data.","Ashwin Machanavajjhala|Jerome P. Reiter","17133"
"6779","A linear function for the toughest choice.","Pierpaolo Baccichet","17134"
"6780","Introduction: The World of Data Compression.","Eric D. Scheirer","17135"
"6781","Modding: changing the game, changing the industry.","Caio Camargo","17136"
"6782","Ask Jack: CareerLine.","Jack Wilson","17137"
"6783","Blogs.","Arefin Huq|Gidi Nave","17138"
"6784","Toward smartphone assisted personal rehabilitation training.","Gabriele Spina|Oliver Amft","17139"
"6785","Microsoft windows programming strategies.","Mike Maxim","17140"
"6786","Stratego: a programming language for program manipulation.","Karl Trygve Kalleberg","17141"
"6787","Mastering real-time big data with stream processing chains.","Dario Bonino|Luigi De Russis","17142"
"6788","How can software engineers help make government better?","Luigi Montanez","17143"
"6789","Every bit has a cost.","Jon Froehlich","17144"
"6790","In search of diverse students.","Carmen Leicht-Scholten|Rebecca Apel|Tobias Berg","17145"
"6791","Use of motion field warping to generate cardiac images.","Gang Gao|Paul Cockshott","17146"
"6792","Objective Viewpoint: Java I/O and Compression.","Matt Tucker","17147"
"6793","Prefix Compression of Sparse Binary Strings.","David Salomon","17148"
"6794","Research at Nairobi's iHub: discovery and sharing.","Angela Crandall|Rhoda Omenya","17149"
"6795","Let's split!","Dan Sturges","17150"
"6796","HCI Applications for aiding children with mental disorders.","Hossein Mobahi|Karrie G. Karahalios","17151"
"6797","Journalism with flying robots.","Matt Waite","17152"
"6798","Spoken dialogue systems: the new frontier in human-computer interaction.","Pierre Lison|Raveesh Meena","17153"
"6799","Ethical lessons learned from computer science.","Richard Bergmair","17154"
"6800","mHealth @ UAH: computing infrastructure for mobile health and wellness monitoring.","Aleksandar Milenkovic|Emil Jovanov|Mladen Milosevic","17155"
"6801","Automated DNA sequencers.","Finn Kuusisto","17156"
"6802","Parallel machine learning on big data.","John Langford","17157"
"6803","Storage capacity comparison of neural network models for memory recall.","Kate Patterson","17158"
"6804","Inbox.","","17159"
"6805","What is web 2.0?","Daniel Lewis","17160"
"6806","Challenges in sustainable human-home interaction.","Johnny Rodgers|Lyn Bartram|Rob Woodbury","17161"
"6807","Towards a user-friendly semantic formalism for natural language generation.","Craig Thomas","17162"
"6808","Voting machines.","James Stanier","17163"
"6809","The critical voice.","Frank Liechtenstein","17164"
"6810","Sourcemap: eco-design, sustainable supply chains, and radical transparency.","Leo Bonanni","17165"
"6811","A dexterous crabster robot explores the seafloor.","Bong-Huan Jun|Hyungwon Shim","17166"
"6812","Open source, open heart.","Jesse Beach","17167"
"6813","Pen-based computing.","Gordon Kurtenbach","17168"
"6814","Technology for talking.","Jay Patel","17169"
"6815","Team players: How to be a good one.","Vaggelis Giannikas","17170"
"6816","Adbarrassment.","","17171"
"6817","Introduction.","William Stevenson","17172"
"6818","A day in the life of ... Donald Norman.","Donald A. Norman","17173"
"6819","Sustainable data centers.","Bill Weihl|Chris Malone|Erik Teetzel|Jimmy Clidaras|Joe Kava|Michael Ryan","17174"
"6820","Why are APIs difficult to learn and use?","Christopher Scaffidi","17175"
"6821","Dickie George: looking back on 40 years at the NSA.","Robert J. Simmons","17176"
"6822","Aligning DNA sequences using dynamic programming.","Eric C. Rouchka","17177"
"6823","On teaching computer science: thoughts and advice for TAs.","David Chiu","17178"
"6824","Profile Hiroshi Ishii: tangible bits.","David Chiu","17179"
"6825","Challenges in systems biology: an interview with Dr. Lee Hood, inventor of the DNA sequencer.","David Sigfredo Angulo","17180"
"6826","An introduction to human-guided search.","Michael Mitzenmacher","17181"
"6827","Seismic activity.","Jay Patel","17182"
"6828","An interview with Dr. Beth Simone Noveck.","Peter Kinnaird","17183"
"6829","What is computation?","Ian Horswill","17184"
"6830","Revitalizing ACM Student Chapters: A look at how to refresh student initiatives.","Michael Zuba","17185"
"6831","The student's guide to GDC.","James Stewart","17186"
"6832","Should computer scientists worry about ethics? Don Gotterbarn says, ""yes1!"".","Saveen Reddy","17187"
"6833","Technical writing 101: a crash course.","Leslie Sandoval","17188"
"6834","The geometric origins of spectral graph theory.","Olivia Simpson","17189"
"6835","Information Sciences Institute: Marina del Rey, California.","Gideon Juve","17190"
"6836","DNA smart card for financial transactions.","Panagiotis Petratos|Sofia Gleni","17191"
"6837","Expanders, tropical semi-rings, and nuclear norms: oh my!","David Gleich","17192"
"6838","Thank you!","Chris Harrison","17193"
"6839","Modding: changing the game, changing the industry.","Caio Camargo","17194"
"6840","A Bibliography Manager for Microsoft Word.","José Hilario Canós Cerdá","17195"
"6841","Dialogical encounters: art and energy awareness via eco-visualization.","Tiffany Holmes","17196"
"6842","The critical voice.","Frank Liechtenstein","17197"
"6843","Inbox.","","17198"
"6844","Are your friends who they say they are?: data mining online identities.","Dan Chalmers|Ian Wakeman|Roya Feizy","17199"
"6845","Ethical lessons learned from computer science.","Richard Bergmair","17200"
"6846","Introduction.","William Stevenson","17201"
"6847","Game-state fidelity across distributed interactive games.","Aaron McCoy|Declan Delaney|Tomás Ward","17202"
"6848","On education in entrepreneurship: an interview with Jessica Mah.","Christina Pop","17203"
"6849","Accenture Technology Labs: Chicago, Illinois.","Zahra Ferdowsi","17204"
"6850","Gendered expectations: are we unintentionally undermining our efforts to diversify STEM fields?","Amy Wendt|Eve Fine|Molly Carnes","17205"
"6851","Peregrine: low-latency queries on Hive warehouse data.","Raghotham Murthy|Rajat Goel","17206"
"6852","Future of computing: inspiration from nature.","Dennis Shasha","17207"
"6853","CS education in the U.S.: heading in the wrong direction.","Owen L. Astrachan|Robert Dewar","17208"
"6854","Inbox.","","17209"
"6855","A beginner's guide to computer science research.","Somdip Dey","17210"
"6856","Ancient Sumerian online: challenges and opportunities.","Terhi Nurmikko-Fuller","17211"
"6857","What a wonderful world (II): ACM student chapters around the globe.","Vaggelis Giannikas","17212"
"6858","The critical voice.","Frank Liechtenstein","17213"
"6859","Security, privacy, and anonymity.","Thomas Wright","17214"
"6860","Subliminal computing: the support you don't see.","Ryan Kelly","17215"
"6861","Introduction.","Justin Solomon","17216"
"6862","Digital re-creation of a seven-story building shake during an earthquake.","Amit Chourasia","17217"
"6863","Public relations for computer science students.","Vaggelis Giannikas","17218"
"6864","Behold a pail of milk: the future of banking, currency, and e-commerce.","Malay Bhattacharyya|Vaggelis Giannikas","17219"
"6865","Scientific workflows and clouds.","Ewa Deelman|Gideon Juve","17220"
"6866","Common mistakes in online and real-time contests.","Shahriar Manzoor","17221"
"6867","Coaching a society of robots in accomplishing joint tasks.","Marc Perron","17222"
"6868","Introduction: metamorphosis.","Chris Harrison","17223"
"6869","Social learning and technical capital on the social web.","Sarita Yardi","17224"
"6870","Ed Boyden: the synthetic neurobiologist.","Robert J. Simmons","17225"
"6871","","Pedro Lopes","17226"
"6872","Virtual communities and team formation.","Michael Weiss|Yanru Zhang","17227"
"6873","Cameron Wilson: ACM's man in Washington.","Robert J. Simmons","17228"
"6874","SIGGRAPH 2006: exploring the art and science of computer graphics.","Justin Solomon","17229"
