Keyword_ID,key,topic,Topic_ID
36661,Sources,AugmentedReality,25
36662,Estimation,Behavior,44
36663,Codes,Immunology,46
36664,Polar,Bioinformatics,2
36665,Polarization,Virology,41
36666,Physics,WirelessCommunication,27
36667,Techniques,LanguageProcessing,37
36668,Repairability,DataScience,47
36669,Raptor,Materials,39
36670,Part,GenomeEditing,10
36671,Multiple,Cryptocurrencies,24
36672,Probabilities,RenewableEnergy,7
36673,Estimates,CancerBiology,29
36674,Combining,Behavior,44
36675,Antennas,DrugDiscovery,14
36676,Theoretical,Rights,48
36677,Foundations,Human-ComputerInteraction,15
36678,Video,Robotics,8
36679,Distortion,QuantumPhysics,34
36680,Bounds,Psychology,17
36681,MIMO,Rights,48
36682,Transceiver,EvolutionaryBiology,20
36683,Optimization,Immunology,46
36684,Resource,Nanotechnology,3
36685,Allocation,TissueEngineering,23
36686,Matrix,RenewableEnergy,7
36687,Throughput,DrugDiscovery,14
36688,Delay,TissueEngineering,23
36689,Presence,WirelessCommunication,27
36690,Alignment,Wearables,32
36691,Network,DrugDiscovery,14
36692,Signal,Pollution,31
36693,Review,QuantumComputing,5
36694,Circulant,Transportation,43
36695,Statistics,Immunology,46
36696,Communication,AugmentedReality,25
36697,Single,Ecology,36
36698,Decoding,GameTheory,30
36699,Designs,Nanotechnology,3
36700,Authentication,ArtificialIntelligence,0
36701,Achieving,Modeling,28
36702,database,Cybersecurity,13
36703,improvements,Bioinformatics,2
36704,school,Cybersecurity,13
36705,advisors,ClimateChange,1
36706,part,Genetics,35
36707,Adaptively,Behavior,44
36708,analysis,Nanotechnology,3
36709,ranking,WirelessCommunication,27
36710,Crowdsourcing,GameTheory,30
36711,collaboration,Paleontology,26
36712,creativity,Astrophysics,42
36713,Computer,Paleontology,26
36714,democracy,Immunology,46
36715,science,BiomedicalImaging,18
36716,research,Modeling,28
36717,evil,ClimateChange,1
36718,Inbox,EvolutionaryBiology,20
36719,Proofs,Robotics,8
36720,Zero-knowledge,Rights,48
36721,Visualizing,Virology,41
36722,glyphs,Transportation,43
36723,flow,IoT,45
36724,Cichy,QuantumComputing,5
36725,Mars,Atmosphere,38
36726,Benjamin,RenewableEnergy,7
36727,Introduction,DrugDiscovery,14
36728,Bliss,IoT,45
36729,Ryan,DrugDiscovery,14
36730,Digital,SpaceExploration,12
36731,Fitness,CancerBiology,29
36732,trackers,Rights,48
36733,Jumping,Economics,49
36734,systems,Cryptocurrencies,24
36735,water,Oceanography,22
36736,money,Cybersecurity,13
36737,Massive,Atmosphere,38
36738,fun,Addiction,33
36739,Overcoming,Oceanography,22
36740,networks,WirelessCommunication,27
36741,overview,Genetics,35
36742,brain,Nanotechnology,3
36743,Catching,DataScience,47
36744,mining,EvolutionaryBiology,20
36745,bad,SpaceExploration,12
36746,Creativity,Nanotechnology,3
36747,Science,Virology,41
36748,Dynamics,Robotics,8
36749,Viewpoint,EvolutionaryBiology,20
36750,Make,Economics,49
36751,Swing,SocialNetworks,11
36752,Running,Addiction,33
36753,rivers,SocialNetworks,11
36754,Ultra-efficiency,SpaceExploration,12
36755,sublinearity,CancerBiology,29
36756,PetaBricks,Ecology,36
36757,Tweet,Atmosphere,38
36758,Professional,3DPrinting,21
36759,ACM,UrbanPlanning,16
36760,Maintaining,CancerBiology,29
36761,Cloudera,StemCells,6
36762,Big,BiomedicalImaging,18
36763,data,StemCells,6
36764,Finding,Psychology,17
36765,match,Materials,39
36766,optimal,Behavior,44
36767,Lessons,Bioinformatics,2
36768,opportunities,GenomeEditing,10
36769,freebird,Psychology,17
36770,Singapore,Nanotechnology,3
36771,CUTE,Human-ComputerInteraction,15
36772,Keio-NUS,SpaceExploration,12
36773,software,TissueEngineering,23
36774,compiler,Behavior,44
36775,optimizations,Atmosphere,38
36776,PHP,Bioinformatics,2
36777,smarty,Astrophysics,42
36778,started,Behavior,44
36779,communities,Human-ComputerInteraction,15
36780,chilling,Immunology,46
36781,tale,UrbanPlanning,16
36782,Server,Virology,41
36783,implementation,EvolutionaryBiology,20
36784,virtualization,Rights,48
36785,ICTD,Atmosphere,38
36786,Berkeley,Epidemiology,4
36787,University,ArtificialIntelligence,0
36788,good,IoT,45
36789,Pittsburgh,ArtificialIntelligence,0
36790,Laboratory,Epidemiology,4
36791,Usable,Materials,39
36792,Scarce,IoT,45
36793,Coordination,ArtificialIntelligence,0
36794,Mixing,BiomedicalImaging,18
36795,things,Oceanography,22
36796,MOO,Pollution,31
36797,Map-based,Immunology,46
36798,navigation,Epidemiology,4
36799,Privacy,ClimateChange,1
36800,web,BiomedicalImaging,18
36801,challenges,StemCells,6
36802,Heads,SpaceExploration,12
36803,cloud,Behavior,44
36804,Robotic,StemCells,6
36805,vacuums,Modeling,28
36806,Jennifer,RenewableEnergy,7
36807,Lai,SocialNetworks,11
36808,day,Ecology,36
36809,Arabic,Nanotechnology,3
36810,text,SocialNetworks,11
36811,hybrid,AugmentedReality,25
36812,environment,Materials,39
36813,security,Transportation,43
36814,plagiarism,LanguageProcessing,37
36815,crossroads,Astrophysics,42
36816,Eureka,Paleontology,26
36817,past,Addiction,33
36818,present,Economics,49
36819,Sims,TissueEngineering,23
36820,open,BiomedicalImaging,18
36821,lessons,GameTheory,30
36822,API,Transportation,43
36823,Google,QuantumComputing,5
36824,Maps,Wearables,32
36825,life,DataScience,47
36826,constructing,Atmosphere,38
36827,tree,Bioinformatics,2
36828,Making,Transportation,43
36829,scene,QuantumComputing,5
36830,people,Modeling,28
36831,glass,ClimateChange,1
36832,curious,RenewableEnergy,7
36833,case,Rights,48
36834,RSA,Astrophysics,42
36835,Timing,Virology,41
36836,revealing,TissueEngineering,23
36837,stick,Immunology,46
36838,problem,EvolutionaryBiology,20
36839,MultiVizArch,BiomedicalImaging,18
36840,multiple,Atmosphere,38
36841,architecture,RenewableEnergy,7
36842,Twitterverse,Bioinformatics,2
36843,Twitter,GameTheory,30
36844,revolution,QuantumPhysics,34
36845,bioinformatics,Economics,49
36846,Tracking,DrugDiscovery,14
36847,read,ClimateChange,1
36848,activity,Ecology,36
36849,Cheshire,Agriculture,19
36850,Computational,Cybersecurity,13
36851,origami,DrugDiscovery,14
36852,art,Rights,48
36853,Announcing,Atmosphere,38
36854,Mixed,Astrophysics,42
36855,nuts,Pollution,31
36856,atypical,Addiction,33
36857,ICT,UrbanPlanning,16
36858,Voices,TissueEngineering,23
36859,development,Cybersecurity,13
36860,Cognitive,Humanities,40
36861,mind,EvolutionaryBiology,20
36862,chapter,Economics,49
36863,student,Economics,49
36864,Nairobi-Kenya,Economics,49
36865,Jump-starting,RenewableEnergy,7
36866,undergraduate,TissueEngineering,23
36867,approach,ArtificialIntelligence,0
36868,Quarto,Atmosphere,38
36869,Associative,Neuroscience,9
36870,memory,Psychology,17
36871,Identifying,Economics,49
36872,contents,ClimateChange,1
36873,spam,QuantumPhysics,34
36874,Tracing,Cybersecurity,13
36875,attacks,Rights,48
36876,analogy,3DPrinting,21
36877,setting,Neuroscience,9
36878,effects,Psychology,17
36879,piracy,GameTheory,30
36880,Airwriting,Epidemiology,4
36881,bringing,EvolutionaryBiology,20
36882,computers,BiomedicalImaging,18
36883,Levine,StemCells,6
36884,academics,3DPrinting,21
36885,Sustainable,Pollution,31
36886,planet,Astrophysics,42
36887,sensing,Human-ComputerInteraction,15
36888,clavier,UrbanPlanning,16
36889,style,Robotics,8
36890,composition,Transportation,43
36891,gold,ClimateChange,1
36892,farmers,Psychology,17
36893,GrowFood.org,SocialNetworks,11
36894,sustainability,3DPrinting,21
36895,food,3DPrinting,21
36896,anonymity,ClimateChange,1
36897,auctions,Robotics,8
36898,Spotlight,Immunology,46
36899,Allen,Oceanography,22
36900,Frances,Paleontology,26
36901,Resig,Astrophysics,42
36902,John,Epidemiology,4
36903,Profile,Materials,39
36904,XOR,Genetics,35
36905,Encryption,Cybersecurity,13
36906,Obfuscation,GenomeEditing,10
36907,creative,QuantumPhysics,34
36908,sensorium,Oceanography,22
36909,XRDS,Modeling,28
36910,redesign,Agriculture,19
36911,path,Oceanography,22
36912,Ethics,QuantumComputing,5
36913,crowdwork,Agriculture,19
36914,tactics,IoT,45
36915,Dynamic,Human-ComputerInteraction,15
36916,displays,AugmentedReality,25
36917,Motion,QuantumComputing,5
36918,environments,Astrophysics,42
36919,planning,Virology,41
36920,automatic,LanguageProcessing,37
36921,Chaudhuri,Oceanography,22
36922,Surajit,RenewableEnergy,7
36923,interview,Pollution,31
36924,Detecting,Nanotechnology,3
36925,scale,Humanities,40
36926,steganography,Atmosphere,38
36927,detection,Nanotechnology,3
36928,Damacy,Atmosphere,38
36929,Katamari,3DPrinting,21
36930,complexity,Ecology,36
36931,Tips,Psychology,17
36932,green,DataScience,47
36933,world,Epidemiology,4
36934,change,SpaceExploration,12
36935,Hyderabad,Human-ComputerInteraction,15
36936,Ontario,Materials,39
36937,Bitcoin,WirelessCommunication,27
36938,safe,Behavior,44
36939,backup,Cybersecurity,13
36940,backups,StemCells,6
36941,Huffman,Nanotechnology,3
36942,Memory,Materials,39
36943,David,StemCells,6
36944,BPM,GameTheory,30
36945,management,Behavior,44
36946,computer,Virology,41
36947,TigerEvents,Humanities,40
36948,students,Humanities,40
36949,online,Agriculture,19
36950,earth,Transportation,43
36951,geophysical,QuantumComputing,5
36952,subsurface,ArtificialIntelligence,0
36953,Modeling,Ecology,36
36954,collaborations,LanguageProcessing,37
36955,Shared,Human-ComputerInteraction,15
36956,clashing,Addiction,33
36957,goals,Transportation,43
36958,bytes,ClimateChange,1
36959,brains,StemCells,6
36960,tips,Wearables,32
36961,start,Paleontology,26
36962,career,Atmosphere,38
36963,Special,Oceanography,22
36964,groups,IoT,45
36965,interest,Genetics,35
36966,Designing,LanguageProcessing,37
36967,algorithms,UrbanPlanning,16
36968,Turing,Paleontology,26
36969,Simulating,3DPrinting,21
36970,machine,Paleontology,26
36971,role,Cybersecurity,13
36972,academia,Astrophysics,42
36973,Shop,Paleontology,26
36974,Back,RenewableEnergy,7
36975,Keeping,SpaceExploration,12
36976,Architecture-centric,Ecology,36
36977,engineering,IoT,45
36978,Wearable,Wearables,32
36979,Compression,SpaceExploration,12
36980,Wavelets,Pollution,31
36981,Community,QuantumComputing,5
36982,initiatives,Humanities,40
36983,Networking,DrugDiscovery,14
36984,safety,GameTheory,30
36985,embedding,Genetics,35
36986,free,TissueEngineering,23
36987,Cambridge,GenomeEditing,10
36988,Massachusetts,ClimateChange,1
36989,Elasticity,Addiction,33
36990,Grafitter,Humanities,40
36991,leveraging,Wearables,32
36992,reflection,Human-ComputerInteraction,15
36993,Efficient,Materials,39
36994,monitoring,Paleontology,26
36995,sensor,Materials,39
36996,DNA,CancerBiology,29
36997,nanotechnology,EvolutionaryBiology,20
36998,synthetic,SpaceExploration,12
36999,Storm-chasing,SpaceExploration,12
37000,drones,SocialNetworks,11
37001,community,Bioinformatics,2
37002,Alan,StemCells,6
37003,computation,Genetics,35
37004,watermarking,QuantumPhysics,34
37005,Applying,Genetics,35
37006,studies,SocialNetworks,11
37007,postgraduate,Wearables,32
37008,Dean,Genetics,35
37009,documents,TissueEngineering,23
37010,perception,ArtificialIntelligence,0
37011,managing,Wearables,32
37012,processing,3DPrinting,21
37013,directions,3DPrinting,21
37014,language,Epidemiology,4
37015,AmazonViz,CancerBiology,29
37016,Amazon.com,EvolutionaryBiology,20
37017,visualizing,EvolutionaryBiology,20
37018,Havelock,ArtificialIntelligence,0
37019,Satellite,Psychology,17
37020,Luhn-ie,ArtificialIntelligence,0
37021,secret,IoT,45
37022,C-Transformers,BiomedicalImaging,18
37023,transformations,Virology,41
37024,framework,Psychology,17
37025,Kynogon,UrbanPlanning,16
37026,Pierre,Modeling,28
37027,Pontevia,Cryptocurrencies,24
37028,LibraryThing,GenomeEditing,10
37029,Tim,3DPrinting,21
37030,spalding,Neuroscience,9
37031,alignment,Cryptocurrencies,24
37032,parallel,DrugDiscovery,14
37033,graphics,Atmosphere,38
37034,Scientific,SpaceExploration,12
37035,computing,UrbanPlanning,16
37036,Gutenberg,Oceanography,22
37037,Literary,Humanities,40
37038,freedom,GenomeEditing,10
37039,entrepredemic,Wearables,32
37040,code,TissueEngineering,23
37041,generating,Epidemiology,4
37042,California,Human-ComputerInteraction,15
37043,IBM,Immunology,46
37044,San,AugmentedReality,25
37045,Pseudorandomness,TissueEngineering,23
37046,derandomization,DataScience,47
37047,Hinton,Modeling,28
37048,Geoffrey,Nanotechnology,3
37049,CareerLine,QuantumComputing,5
37050,Jack,Human-ComputerInteraction,15
37051,Apple,QuantumComputing,5
37052,mouse,Robotics,8
37053,years,Paleontology,26
37054,Java,3DPrinting,21
37055,Punch,Neuroscience,9
37056,cards,Cybersecurity,13
37057,Museth,Wearables,32
37058,Ken,Rights,48
37059,Process,CancerBiology,29
37060,Dimensions,Robotics,8
37061,Software,Human-ComputerInteraction,15
37062,Participating,Cybersecurity,13
37063,conference,EvolutionaryBiology,20
37064,perspective,Epidemiology,4
37065,liberate,SpaceExploration,12
37066,law,ClimateChange,1
37067,Rosenblum,Humanities,40
37068,Mendel,Addiction,33
37069,papers,QuantumComputing,5
37070,review,RenewableEnergy,7
37071,Libraries,Ecology,36
37072,Windows,Cryptocurrencies,24
37073,human,SpaceExploration,12
37074,divine,LanguageProcessing,37
37075,err,Paleontology,26
37076,undergraduates,QuantumPhysics,34
37077,Games,BiomedicalImaging,18
37078,randomness,Epidemiology,4
37079,extracting,Astrophysics,42
37080,phone,BiomedicalImaging,18
37081,mobile,SpaceExploration,12
37082,Tech,Agriculture,19
37083,pack,Nanotechnology,3
37084,MentorNet,Astrophysics,42
37085,hassle,EvolutionaryBiology,20
37086,genetics,Ecology,36
37087,virtual,Rights,48
37088,organism,BiomedicalImaging,18
37089,Interfaces,UrbanPlanning,16
37090,future,3DPrinting,21
37091,Mathematics,Cybersecurity,13
37092,masses,AugmentedReality,25
37093,Recruiter,TissueEngineering,23
37094,Tricks,IoT,45
37095,Pattern,Economics,49
37096,recognition,Human-ComputerInteraction,15
37097,culture,Humanities,40
37098,Colt,Ecology,36
37099,Preparing,Ecology,36
37100,industry,SocialNetworks,11
37101,center,Paleontology,26
37102,Desktop,BiomedicalImaging,18
37103,source,Robotics,8
37104,WYSIWYG,AugmentedReality,25
37105,Composing,Paleontology,26
37106,layers,QuantumComputing,5
37107,on-demand,TissueEngineering,23
37108,Schwartz,Pollution,31
37109,Greg,DrugDiscovery,14
37110,Amazon,ArtificialIntelligence,0
37111,Mechanical,Genetics,35
37112,Turk,CancerBiology,29
37113,Earhart,GenomeEditing,10
37114,Ben,Nanotechnology,3
37115,Trends,Modeling,28
37116,designing,EvolutionaryBiology,20
37117,services,GameTheory,30
37118,social,Oceanography,22
37119,Drones,GenomeEditing,10
37120,panopticon,Epidemiology,4
37121,digital,ClimateChange,1
37122,Prostate,Psychology,17
37123,ultrasound,StemCells,6
37124,Rockville,ArtificialIntelligence,0
37125,Maryland,Behavior,44
37126,Institute,CancerBiology,29
37127,Electrical,Agriculture,19
37128,stewardship,QuantumComputing,5
37129,modeling,DrugDiscovery,14
37130,vehicle,Rights,48
37131,integrating,Transportation,43
37132,grid,Bioinformatics,2
37133,dark,LanguageProcessing,37
37134,cold,Transportation,43
37135,Architecting,Astrophysics,42
37136,trust-enabled,Transportation,43
37137,file-sharing,Psychology,17
37138,Bernard,BiomedicalImaging,18
37139,Microsoft,StemCells,6
37140,Rob,QuantumPhysics,34
37141,E-business,EvolutionaryBiology,20
37142,E-commerce,EvolutionaryBiology,20
37143,recommenders,WirelessCommunication,27
37144,Experimental,Economics,49
37145,gateways,GenomeEditing,10
37146,WiFi,Paleontology,26
37147,exposed,Genetics,35
37148,Winning,Pollution,31
37149,Message,Psychology,17
37150,Hiding,Cybersecurity,13
37151,programming,Astrophysics,42
37152,game,Agriculture,19
37153,privacy,Humanities,40
37154,protecting,GenomeEditing,10
37155,choice,QuantumPhysics,34
37156,linear,Atmosphere,38
37157,function,Agriculture,19
37158,World,IoT,45
37159,changing,WirelessCommunication,27
37160,Modding,Materials,39
37161,Blogs,DataScience,47
37162,training,IoT,45
37163,smartphone,DrugDiscovery,14
37164,assisted,UrbanPlanning,16
37165,strategies,Transportation,43
37166,windows,AugmentedReality,25
37167,Stratego,Nanotechnology,3
37168,manipulation,DrugDiscovery,14
37169,Mastering,DrugDiscovery,14
37170,chains,BiomedicalImaging,18
37171,real-time,Genetics,35
37172,engineers,RenewableEnergy,7
37173,make,EvolutionaryBiology,20
37174,cost,EvolutionaryBiology,20
37175,bit,Ecology,36
37176,search,QuantumComputing,5
37177,diverse,WirelessCommunication,27
37178,images,3DPrinting,21
37179,motion,Epidemiology,4
37180,field,Neuroscience,9
37181,Strings,StemCells,6
37182,Sparse,Epidemiology,4
37183,Nairobi,Immunology,46
37184,Research,DataScience,47
37185,iHub,Astrophysics,42
37186,split,Wearables,32
37187,HCI,DataScience,47
37188,disorders,Cybersecurity,13
37189,Journalism,Modeling,28
37190,robots,QuantumComputing,5
37191,flying,GenomeEditing,10
37192,Spoken,Agriculture,19
37193,interaction,Neuroscience,9
37194,Ethical,UrbanPlanning,16
37195,UAH,StemCells,6
37196,mHealth,Wearables,32
37197,Automated,Virology,41
37198,sequencers,StemCells,6
37199,Parallel,GenomeEditing,10
37200,Storage,QuantumPhysics,34
37201,recall,LanguageProcessing,37
37202,capacity,Astrophysics,42
37203,Challenges,CancerBiology,29
37204,sustainable,Psychology,17
37205,generation,Atmosphere,38
37206,user-friendly,Economics,49
37207,semantic,WirelessCommunication,27
37208,Voting,Transportation,43
37209,machines,Behavior,44
37210,voice,RenewableEnergy,7
37211,critical,Wearables,32
37212,Sourcemap,StemCells,6
37213,eco-design,Pollution,31
37214,seafloor,ClimateChange,1
37215,dexterous,SocialNetworks,11
37216,crabster,EvolutionaryBiology,20
37217,Open,AugmentedReality,25
37218,heart,Cybersecurity,13
37219,Pen-based,Cybersecurity,13
37220,Technology,Epidemiology,4
37221,talking,Agriculture,19
37222,Team,SpaceExploration,12
37223,players,Transportation,43
37224,Adbarrassment,ClimateChange,1
37225,Norman,GameTheory,30
37226,centers,Epidemiology,4
37227,APIs,UrbanPlanning,16
37228,difficult,Rights,48
37229,learn,Materials,39
37230,George,DataScience,47
37231,NSA,Robotics,8
37232,Dickie,EvolutionaryBiology,20
37233,Aligning,Economics,49
37234,thoughts,Robotics,8
37235,TAs,Cryptocurrencies,24
37236,Ishii,Oceanography,22
37237,Hiroshi,LanguageProcessing,37
37238,Hood,Agriculture,19
37239,Lee,GameTheory,30
37240,introduction,Immunology,46
37241,human-guided,DataScience,47
37242,Seismic,UrbanPlanning,16
37243,Noveck,Addiction,33
37244,Beth,GameTheory,30
37245,Simone,Materials,39
37246,Chapters,IoT,45
37247,Student,Cryptocurrencies,24
37248,GDC,Materials,39
37249,guide,Oceanography,22
37250,ethics,WirelessCommunication,27
37251,scientists,Atmosphere,38
37252,Technical,Genetics,35
37253,writing,Economics,49
37254,crash,Epidemiology,4
37255,theory,Materials,39
37256,geometric,Oceanography,22
37257,origins,Modeling,28
37258,Marina,ArtificialIntelligence,0
37259,transactions,Agriculture,19
37260,smart,Wearables,32
37261,Expanders,Transportation,43
37262,tropical,LanguageProcessing,37
37263,semi-rings,Pollution,31
37264,Word,Astrophysics,42
37265,Manager,Virology,41
37266,Dialogical,GenomeEditing,10
37267,encounters,Cryptocurrencies,24
37268,identities,3DPrinting,21
37269,friends,Astrophysics,42
37270,Game-state,CancerBiology,29
37271,games,Addiction,33
37272,fidelity,GameTheory,30
37273,Mah,Robotics,8
37274,Jessica,QuantumPhysics,34
37275,entrepreneurship,Cryptocurrencies,24
37276,Chicago,Humanities,40
37277,Illinois,GameTheory,30
37278,Labs,BiomedicalImaging,18
37279,STEM,TissueEngineering,23
37280,Gendered,Ecology,36
37281,expectations,Immunology,46
37282,Peregrine,SocialNetworks,11
37283,Hive,Human-ComputerInteraction,15
37284,low-latency,WirelessCommunication,27
37285,Future,ArtificialIntelligence,0
37286,inspiration,RenewableEnergy,7
37287,heading,Behavior,44
37288,direction,Cybersecurity,13
37289,education,Epidemiology,4
37290,beginner,GameTheory,30
37291,Sumerian,CancerBiology,29
37292,Ancient,Wearables,32
37293,globe,GenomeEditing,10
37294,Subliminal,Neuroscience,9
37295,support,Humanities,40
37296,earthquake,Atmosphere,38
37297,re-creation,Robotics,8
37298,Public,SocialNetworks,11
37299,relations,Ecology,36
37300,currency,Virology,41
37301,Behold,AugmentedReality,25
37302,milk,WirelessCommunication,27
37303,clouds,Bioinformatics,2
37304,workflows,CancerBiology,29
37305,Common,ArtificialIntelligence,0
37306,contests,Materials,39
37307,mistakes,SocialNetworks,11
37308,Coaching,Genetics,35
37309,tasks,Paleontology,26
37310,society,Addiction,33
37311,metamorphosis,Wearables,32
37312,Social,Paleontology,26
37313,learning,SpaceExploration,12
37314,Boyden,Transportation,43
37315,neurobiologist,Cybersecurity,13
37316,Virtual,Rights,48
37317,formation,Astrophysics,42
37318,Wilson,Epidemiology,4
37319,Washington,Transportation,43
37320,SIGGRAPH,Paleontology,26
37321,exploring,Modeling,28
37322,Learning,Cybersecurity,13
37323,ham,Psychology,17
37324,operations,RenewableEnergy,7
37325,sentiment,Materials,39
37326,Competitions,LanguageProcessing,37
37327,award,Nanotechnology,3
37328,Taming,Humanities,40
37329,distributions,Materials,39
37330,big,ClimateChange,1
37331,Successfully,AugmentedReality,25
37332,transitioning,Pollution,31
37333,EEG,Modeling,28
37334,Analyzing,QuantumPhysics,34
37335,practice,Paleontology,26
37336,learned,Addiction,33
37337,usage,Epidemiology,4
37338,matter,ClimateChange,1
37339,domain-specific,Immunology,46
37340,theft,Paleontology,26
37341,scary,Wearables,32
37342,reality,GenomeEditing,10
37343,Superhuman,Cybersecurity,13
37344,MRI,Epidemiology,4
37345,scanners,Nanotechnology,3
37346,Hartley,Rights,48
37347,Tronster,RenewableEnergy,7
37348,Firaxis,WirelessCommunication,27
37349,RAS,Agriculture,19
37350,system,Virology,41
37351,Dwork,Virology,41
37352,Differential,Rights,48
37353,Europe,QuantumPhysics,34
37354,chapters,Paleontology,26
37355,active,QuantumComputing,5
37356,Hofstadter,Nanotechnology,3
37357,Staying,IoT,45
37358,degree,Transportation,43
37359,disciplined,Astrophysics,42
37360,Interactive,StemCells,6
37361,tangibles,LanguageProcessing,37
37362,surfaces,DrugDiscovery,14
37363,slope,DataScience,47
37364,slippery,3DPrinting,21
37365,Kay,Immunology,46
37366,Russell,Astrophysics,42
37367,gaming,Virology,41
37368,business,LanguageProcessing,37
37369,Propagation,Robotics,8
37370,immunization,IoT,45
37371,TA-ing,Ecology,36
37372,technology,Atmosphere,38
37373,High-performance,DataScience,47
37374,hell,Atmosphere,38
37375,Feeding,Oceanography,22
37376,Women,Bioinformatics,2
37377,hip-hop,GameTheory,30
37378,self-teaching,Astrophysics,42
37379,speech,SocialNetworks,11
37380,networking,Rights,48
37381,configuration,Neuroscience,9
37382,english,Cybersecurity,13
37383,detecting,Behavior,44
37384,succeed,Transportation,43
37385,Fusionopolis,Modeling,28
37386,Bland,QuantumComputing,5
37387,Arthur,Materials,39
37388,Oak,RenewableEnergy,7
37389,excellence,Virology,41
37390,Marketing,Oceanography,22
37391,ideas,SpaceExploration,12
37392,short,RenewableEnergy,7
37393,English,Astrophysics,42
37394,Cloud,GameTheory,30
37395,Teaching,Psychology,17
37396,discussion,Behavior,44
37397,Author-Izer,Bioinformatics,2
37398,Sid,SocialNetworks,11
37399,Meier,TissueEngineering,23
37400,Interesting,Cybersecurity,13
37401,Soare,WirelessCommunication,27
37402,Robert,Atmosphere,38
37403,Kinton,Ecology,36
37404,Sharon,SpaceExploration,12
37405,execution,Bioinformatics,2
37406,time,Oceanography,22
37407,superwhichway,Economics,49
37408,Online,GenomeEditing,10
37409,contexts,Virology,41
37410,WLAN,Psychology,17
37411,gesture,Humanities,40
37412,natural,Genetics,35
37413,shape,DrugDiscovery,14
37414,revolutionizing,Neuroscience,9
37415,dimension,Genetics,35
37416,Fighting,Epidemiology,4
37417,censorship,Epidemiology,4
37418,analytics,SocialNetworks,11
37419,Green,IoT,45
37420,Quantified,Oceanography,22
37421,performance,GameTheory,30
37422,assessing,GameTheory,30
37423,BCI,Bioinformatics,2
37424,Habits,GenomeEditing,10
37425,shortcut,Behavior,44
37426,cognitive,QuantumPhysics,34
37427,cryptography,Astrophysics,42
37428,quantum,Humanities,40
37429,Connecting,DrugDiscovery,14
37430,oceans,Pollution,31
37431,Avoid,Oceanography,22
37432,Box,EvolutionaryBiology,20
37433,job,Oceanography,22
37434,OPOWER,IoT,45
37435,Talking,QuantumComputing,5
37436,Compilation,TissueEngineering,23
37437,Fit,Neuroscience,9
37438,Algorithms,IoT,45
37439,biology,UrbanPlanning,16
37440,maxed,Cybersecurity,13
37441,Dryden,Oceanography,22
37442,Ashe,Oceanography,22
37443,Illustrated,Wearables,32
37444,Primer,Wearables,32
37445,Defending,IoT,45
37446,crime,Atmosphere,38
37447,Money,3DPrinting,21
37448,publishing,GameTheory,30
37449,power,Robotics,8
37450,Multilevel,BiomedicalImaging,18
37451,projects,Genetics,35
37452,factors,TissueEngineering,23
37453,Real-time,GameTheory,30
37454,webcam,ClimateChange,1
37455,deck,IoT,45
37456,hands,RenewableEnergy,7
37457,rap,ClimateChange,1
