Paper_ID,title,author,id,corresponding_author,Author_ID,abstract
6553,Raptor Codes.,Michael Luby|Mohammad Amin Shokrollahi,16908,Michael Luby,16638,The study illustrates...
6554,Network Coding Theory - Part II: Multiple Source.,Ning Cai|Raymond W. Yeung|Shuo-Yen Robert Li|Zhen Zhang,16909,Ning Cai,16640,This paper demonstrates...
6555,Asymptotic Estimates in Information Theory with Non-Vanishing Error Probabilities.,Vincent Y. F. Tan,16910,Vincent Y. F. Tan,16644,The research reveals...
6556,Information Combining.,Ingmar Land|Johannes B. Huber,16911,Ingmar Land,16645,The research introduces...
6557,Transmission and Reception with Multiple Antennas: Theoretical Foundations.,Ezio Biglieri|Giorgio Taricco,16912,Ezio Biglieri,16614,The study illustrates...
6558,Rate Distortion Bounds for Voice and Video.,Jerry D. Gibson|Jing Hu,16913,Jerry D. Gibson,16648,The paper compares...
6559,MIMO Transceiver Design via Majorization Theory.,Daniel Pérez Palomar|Yi Jiang,16914,Daniel Pérez Palomar,16650,The research reveals...
6560,QoS-Based Resource Allocation and Transceiver Optimization.,Holger Boche|Martin Schubert,16915,Holger Boche,16624,This paper addresses...
6561,Random Matrix Theory and Wireless Communications.,Antonia Maria Tulino|Sergio Verdú,16916,Antonia Maria Tulino,16653,This study investigates...
6562,"Fundamental Performance Limits in Cross-layer Wireless Optimization: Throughput, Delay, and Energy.",Edmund M. Yeh,16917,Edmund M. Yeh,16654,This paper demonstrates...
6563,Channel Coding in the Presence of Side Information.,Guy Keshet|Neri Merhav|Yossef Steinberg,16918,Guy Keshet,16655,This paper presents...
6564,Interference Alignment: A New Look at Signal Dimensions in a Communication Network.,Syed Ali Jafar,16919,Syed Ali Jafar,16657,The research introduces...
6565,Toeplitz and Circulant Matrices: A Review.,Robert M. Gray,16920,Robert M. Gray,16658,This paper is about...
6566,Information Theory and Statistics: A Tutorial.,Imre Csiszár|Paul C. Shields,16921,Imre Csiszár,16659,The research aims to explore...
6567,Geometric Programming for Communication Systems.,Mung Chiang,16922,Mung Chiang,16661,The study analyzes...
6568,Network Coding Theory - Part I: Single Source.,Ning Cai|Raymond W. Yeung|Shuo-Yen Robert Li|Zhen Zhang,16923,Ning Cai,16640,The research aims to explore...
6569,Optimal Resource Allocation in Coordinated Multi-Cell Systems.,Eduard A. Jorswieck|Emil Björnson,16924,Eduard A. Jorswieck,16623,This paper is about...
6570,Performance Analysis of Linear Codes under Maximum-Likelihood Decoding: A Tutorial.,Igal Sason|Shlomo Shamai,16925,Igal Sason,16630,The paper compares...
6571,Combinatorial Designs for Authentication and Secrecy Codes.,Michael Huber,16926,Michael Huber,16663,The research aims to explore...
6572,Achieving I/O improvements in a mass spectral database.,Alex Schilling|David Jabon|David Sigfredo Angulo|Dominic Battré|Eric Puryear|Gregor von Laszewski|Jennifer Van Puymbrouck|Kevin Drew|Lee Ann Hollenbeck,16927,Alex Schilling,16664,The study illustrates...
6573,"How to succeed in graduate school: a guide for students and advisors, part I of II.",Marie desJardins,16928,Marie desJardins,16673,The study proposes...
6574,Adaptively ranking alerts generated from automated static analysis.,Sarah Smith Heckman,16929,Sarah Smith Heckman,16674,The paper compares...
6575,"Crowdsourcing, collaboration and creativity.",Aniket Kittur,16930,Aniket Kittur,16675,This paper addresses...
6576,Computer science in service of democracy.,Peter Kinnaird,16931,Peter Kinnaird,16676,The study illustrates...
6577,Do no evil in research.,Inbal Talgam-Cohen|Sean Follmer,16932,Inbal Talgam-Cohen,16677,The study analyzes...
6579,Zero-knowledge Proofs.,Marinka Zitnik,16934,Marinka Zitnik,16679,The paper discusses...
6580,Visualizing flow data using assorted glyphs.,Amit P. Sawant|Christopher G. Healey,16935,Amit P. Sawant,16680,This study investigates...
6581,Profile Benjamin Cichy: writing code to run on Mars.,Adrian Scoica,16936,Adrian Scoica,16682,The study proposes...
6582,Introduction.,William Stevenson,16937,William Stevenson,16683,The paper examines...
6583,Digital blasphemy: an interview with Ryan Bliss.,Cara Cocking,16938,Cara Cocking,16684,This paper is about...
6584,Fitness trackers.,Andrew Miller,16939,Andrew Miller,16685,The paper discusses...
6585,Jumping into the water: using software to monitor water supply systems.,Amitai Armon,16940,Amitai Armon,16686,The research aims to explore...
6586,"Massive multiplayer human computation for fun, money, and survival.",Lukas Biewald,16941,Lukas Biewald,16687,The paper highlights...
6587,Overcoming misbehavior in mobile ad hoc networks: an overview.,George Athanasiou|Gregory S. Yovanof|Leandros Tassiulas,16942,George Athanasiou,16688,This paper is about...
6588,The brain.,James Stanier,16943,James Stanier,16691,The paper highlights...
6589,Catching bad guys with graph mining.,Polo Chau,16944,Polo Chau,16692,This paper is about...
6590,Creativity + Computer Science.,David Robert|Nick DePalma,16945,David Robert,16693,This paper presents...
6591,Dynamics of news from the ,Marinka Zitnik,16946,Marinka Zitnik,16679,The research aims to explore...
6592,Objective Viewpoint: Make Your GUI Swing.,Matt Tucker,16947,Matt Tucker,16695,The study analyzes...
6593,Running rivers.,Michael O'Brien,16948,Michael O'Brien,16696,The research introduces...
6594,Ultra-efficiency via sublinearity.,Samira Daruki,16949,Samira Daruki,16697,This paper demonstrates...
6595,PetaBricks.,Cy P. Chan|Jason Ansel,16950,Cy P. Chan,16698,This study investigates...
6597,Maintaining ACM traditions: Professional development done right.,Michael Zuba,16952,Michael Zuba,16700,The paper compares...
6599,Big data and internships at Cloudera.,Andrew Ferguson|Andrew Wang|Brian Martin|Patrick Wendell|Yanpei Chen,16954,Andrew Ferguson,16701,The research aims to explore...
6600,Finding an optimal tooth color match.,Cara Cocking,16955,Cara Cocking,16684,This paper is about...
6601,Introduction.,Justin Solomon,16956,Justin Solomon,16706,The study proposes...
6602,Lessons and opportunities in ICT4D: three things I did not know before I started my research.,Samantha Merritt,16957,Samantha Merritt,16707,This paper presents...
6603,Beyond freebird.,David A. Shamma,16958,David A. Shamma,16708,The study analyzes...
6604,Keio-NUS CUTE center: Singapore.,Anshul Vikram Pandey,16959,Anshul Vikram Pandey,16709,The research reveals...
6605,The use of compiler optimizations for embedded systems software.,Joe Bungo,16960,Joe Bungo,16710,The paper discusses...
6606,Getting started with PHP and smarty.,Ryan Nauman,16961,Ryan Nauman,16711,The research aims to explore...
6607,The chilling tale of copyright law in online creative communities.,Casey Fiesler,16962,Casey Fiesler,16712,This paper is about...
6608,Server virtualization architecture and implementation.,Jeff Daniels,16963,Jeff Daniels,16713,The paper examines...
6609,ICTD at the University of California Berkeley.,Nithya Sambasivan,16964,Nithya Sambasivan,16714,The research reveals...
6610,Are you a good match for ,Inbal Talgam-Cohen|Peter Kinnaird,16965,Inbal Talgam-Cohen,16677,This paper demonstrates...
6611,"CyLab Usable Privacy and Security Laboratory (Pittsburgh, PA).",Rich Shay,16966,Rich Shay,16715,This paper addresses...
6612,Coordination When Information is Scarce: How privacy can help.,Aaron Roth,16967,Aaron Roth,16716,The research reveals...
6613,Mixing things up.,Chris Harrison,16968,Chris Harrison,16717,The paper compares...
6614,Map-based navigation in a graphical MOO.,Doug A. Bowman|John M. Carroll|Wendy A. Schafer,16969,Doug A. Bowman,16718,This paper is about...
6615,Introduction.,Justin Solomon,16970,Justin Solomon,16706,This paper demonstrates...
6616,Privacy challenges and solutions in the social web.,Aris Gkoulalas-Divanis|Grigorios Loukides,16971,Aris Gkoulalas-Divanis,16721,The research introduces...
6617,Heads in the cloud.,Greg Little|Jeffrey P. Bigham|John Joseph Horton|Lydia B. Chilton|Max Goldman|Michael S. Bernstein|Rajeev Nayak|Robert C. Miller,16972,Greg Little,16723,The study illustrates...
6618,Robotic vacuums.,Finn Kuusisto,16973,Finn Kuusisto,16731,The research aims to explore...
6619,A day in the life of...Jennifer Lai.,Jennifer C. Lai,16974,Jennifer C. Lai,16732,The research evaluates...
6620,A hybrid system for code switch point detection in informal Arabic text.,Heba Elfardy|Mohamed Al-Badrashiny|Mona T. Diab,16975,Heba Elfardy,16733,The paper discusses...
6621,Data security in the cloud environment.,Dimitris Mitropoulos,16976,Dimitris Mitropoulos,16736,This paper demonstrates...
6622,At a crossroads: plagiarism.,Chris Jordan,16977,Chris Jordan,16737,This paper demonstrates...
6623,"Eureka! past, present, and future of creativity research in HCI.",Umer Farooq,16978,Umer Farooq,16738,The research aims to explore...
6624,The Sims 2: open for business: lessons learned about business and life.,Chris Dondanville,16979,Chris Dondanville,16739,This paper demonstrates...
6625,Finding yourself using geolocation and the Google Maps API.,Colin J. Ihrig,16980,Colin J. Ihrig,16740,This paper demonstrates...
6626,On constructing the tree of life.,Marinka Zitnik,16981,Marinka Zitnik,16679,This study investigates...
6627,Making a scene: people and artificial intelligence improvising together.,Brian O'Neill,16982,Brian O'Neill,16741,This paper addresses...
6628,The curious case of a sick google glass.,Wolfgang Richter,16983,Wolfgang Richter,16742,The research evaluates...
6629,Timing attacks on RSA: revealing your secrets through the fourth dimension.,Wing H. Wong,16984,Wing H. Wong,16743,The paper examines...
6630,The problem of money as a measuring stick.,James W. Kolari|Mikhail V. Sokolov|Nikolai V. Hovanov,16985,James W. Kolari,16744,This paper is about...
6631,MultiVizArch: multiple graphical layouts for visualizing software architecture.,Amit P. Sawant|Naveen Bali,16986,Amit P. Sawant,16680,The paper compares...
6632,Using the Twitter API to mine the Twitterverse.,Robert Aboukhalil,16987,Robert Aboukhalil,16748,The research reveals...
6633,The bioinformatics revolution.,David Sigfredo Angulo,16988,David Sigfredo Angulo,16666,This paper presents...
6634,Tracking how we read: activity recognition for cognitive tasks.,Kai Kunze,16989,Kai Kunze,16749,The study analyzes...
6635,A day in the life of... Stuart Cheshire.,Stuart Cheshire,16990,Stuart Cheshire,16750,This study investigates...
6636,Computational origami: a creative blend of mathematics and art.,Michael Zuba|Nick DePalma,16991,Michael Zuba,16700,The research aims to explore...
6637,Announcing the ,Inbal Talgam-Cohen|Peter Kinnaird,16992,Inbal Talgam-Cohen,16677,The research introduces...
6638,Mixed nuts: atypical classroom techniques for computer science courses.,Sid Stamm,16993,Sid Stamm,16751,The study proposes...
6639,Voices in ICT for development.,Nithya Sambasivan,16994,Nithya Sambasivan,16714,This paper is about...
6640,Cognitive science: at the crossroads of computers and the mind.,Ronald L. Boring,16995,Ronald L. Boring,16752,The study analyzes...
6641,Nairobi-Kenya ACM-W student chapter: the challenges and rewards of building a new student chapter.,Ben Deverett,16996,Ben Deverett,16753,This paper addresses...
6642,Jump-starting your bioinformatics career as an undergraduate: one student's approach.,Mike Verdicchio,16997,Mike Verdicchio,16754,The paper examines...
6643,Associative memory and the board game Quarto.,Zachary A. Kissel,16998,Zachary A. Kissel,16755,The research evaluates...
6644,Identifying spam without peeking at the contents.,Salvatore J. Stolfo|Shlomo Hershkop,16999,Salvatore J. Stolfo,16756,The research aims to explore...
6645,Introduction.,William Stevenson,17000,William Stevenson,16683,The research reveals...
6646,Tracing the development of denial of service attacks: a corporate analogy.,Yanet Manzano,17001,Yanet Manzano,16758,The paper compares...
6647,The effects of piracy in a university setting.,Joseph Nyiri,17002,Joseph Nyiri,16759,The research introduces...
6648,Airwriting: bringing text entry to wearable computers.,Christoph Amma|Tanja Schultz,17003,Christoph Amma,16760,The research reveals...
6649,"An interview with Peter Levine: academics as founders, teaching entrepreneurship.",Asaf Cidon|Tomer London,17004,Asaf Cidon,16762,The paper examines...
6650,Sustainable sensing for a smarter planet.,Prabal Dutta,17005,Prabal Dutta,16764,The study illustrates...
6651,The well-programmed clavier: style in computer music composition.,David Cope,17006,David Cope,16765,This paper is about...
6652,What can gold farmers teach us about criminal networks?,Brian Keegan|Dmitri Williams|Jaideep Srivastava|Muhammad Aurangzeb Ahmad|Noshir S. Contractor,17007,Brian Keegan,16766,This paper addresses...
6653,"GrowFood.org: sustainability, food, technology, and social networking.",Ethan Schaffer,17008,Ethan Schaffer,16771,The paper compares...
6654,"Security, anonymity and trust in electronic auctions.",Jarrod Trevathan,17009,Jarrod Trevathan,16772,The paper highlights...
6655,Spotlight: an interview with 2006 turing award winner Frances E. Allen.,Daniel Alex Finkelstein,17010,Daniel Alex Finkelstein,16773,The research evaluates...
6656,Profile John Resig: origins of the JavaScript ninja.,Michael S. Bernstein,17011,Michael S. Bernstein,16728,This paper presents...
6657,Obfuscation of the standard XOR Encryption algorithm.,Zachary A. Kissel,17012,Zachary A. Kissel,16755,This paper is about...
6658,More than just computer science: creative activities at ACM student chapters.,Ben Deverett,17013,Ben Deverett,16753,The study proposes...
6659,The sensorium.,Erin Treacy Solovey|Evan Peck,17014,Erin Treacy Solovey,16774,The research evaluates...
6660,Four down.,Chris Harrison,17015,Chris Harrison,16717,The research introduces...
6661,About the redesign: The path to the new XRDS.,James Stanier,17016,James Stanier,16691,This paper demonstrates...
6662,Ethics and tactics of professional crowdwork.,Joel Ross|Lilly Irani|M. Six Silberman,17017,Joel Ross,16776,The paper discusses...
6663,Dynamic displays.,Chris Harrison|Scott E. Hudson,17018,Chris Harrison,16717,The paper compares...
6664,,Debarka Sengupta,17019,Debarka Sengupta,16780,The paper examines...
6665,Motion planning for skateboard-like robots in dynamic environments.,Salik Syed,17020,Salik Syed,16781,This paper presents...
6666,Introduction to automatic design of wireless networks.,K. E. Oliver,17021,K. E. Oliver,16782,This paper addresses...
6667,An interview with Surajit Chaudhuri.,Aditya G. Parameswaran,17022,Aditya G. Parameswaran,16783,The paper examines...
6668,Detecting steganography on a large scale.,William Ella,17023,William Ella,16784,The research reveals...
6669,Computer security and intrusion detection.,Khaled Labib,17024,Khaled Labib,16785,The paper compares...
6670,On the complexity of Katamari Damacy.,Gregory M. Zaverucha,17025,Gregory M. Zaverucha,16786,This study investigates...
6671,,Inbal Talgam-Cohen|Peter Kinnaird,17026,Inbal Talgam-Cohen,16677,The study proposes...
6672,Tips for going green.,Ben Deverett,17027,Ben Deverett,16753,The study analyzes...
6673,How you can change the world.,Connor Bain,17028,Connor Bain,16787,The paper highlights...
6674,ACM chapter news: from Ontario to Hyderabad.,Vaggelis Giannikas,17029,Vaggelis Giannikas,16788,The research introduces...
6675,What is Bitcoin?,Dominic Hobson,17030,Dominic Hobson,16789,This paper addresses...
6676,Better safe than sorry: backup your backups.,Dimitris Mitropoulos,17031,Dimitris Mitropoulos,16736,The paper examines...
6677,In Memory of David Huffman.,Kevin Fu,17032,Kevin Fu,16790,This paper presents...
6678,A computer scientist's introductory guide to business process management (BPM).,Ryan K. L. Ko,17033,Ryan K. L. Ko,16791,The study proposes...
6679,TigerEvents: an online event calendar system for students by students.,Chris Jordan|Oliver Baltzer|Sean Smith,17034,Chris Jordan,16737,The study analyzes...
6680,Introduction.,William Stevenson,17035,William Stevenson,16683,The study proposes...
6681,A look inside the earth: geophysical imaging of the subsurface.,Gregory A. Newman,17036,Gregory A. Newman,16794,The paper compares...
6682,Modeling online creative collaborations.,Burr Settles|Steven Dow,17037,Burr Settles,16795,This paper presents...
6683,"Shared values, clashing goals: journalism and open government.",Sarah Cohen,17038,Sarah Cohen,16797,The research introduces...
6684,From brains to bytes.,Audrey Girouard|Douglas Weaver|Erin Treacy Solovey|Evan Peck|Francine Lalooses|Krysta Chauncey|Rebecca Gulotta|Robert J. K. Jacob,17039,Audrey Girouard,16798,The study proposes...
6685,Five programming tips: start your coding career.,Jason Thibodeau,17040,Jason Thibodeau,16804,The research evaluates...
6686,Special interest groups.,Daniel Gooch,17041,Daniel Gooch,16805,The research evaluates...
6687,Designing good MapReduce algorithms.,Jeffrey D. Ullman,17042,Jeffrey D. Ullman,16806,This paper demonstrates...
6688,Simulating a Turing machine.,Malay Bhattacharyya,17043,Malay Bhattacharyya,16807,This study investigates...
6689,Introduction.,Olivier St-Cyr,17044,Olivier St-Cyr,16808,The research aims to explore...
6690,The role of academia in the startup world.,Asaf Cidon|Tomer London,17045,Asaf Cidon,16762,The study proposes...
6691,Keeping Your Little Back Shop.,Christine Task|Maire Byrne Evans,17046,Christine Task,16809,The paper highlights...
6692,Architecture-centric development: a different approach to software engineering.,Eric M. Dashofy|John C. Georgas|Richard N. Taylor,17047,Eric M. Dashofy,16811,The paper highlights...
6693,Wearable brain computer interface are we there yet?,Viswam Nathan,17048,Viswam Nathan,16814,The research reveals...
6694,Image Compression - from DCT to Wavelets : A Review.,Subhasis Saha,17049,Subhasis Saha,16815,This paper addresses...
6695,Community initiatives: ACM student chapters unite communities.,Ben Deverett,17050,Ben Deverett,16753,The research reveals...
6696,Networking vehicles for safety: embedding cyber networks in physical networks.,Yaser P. Fallah,17051,Yaser P. Fallah,16816,The research aims to explore...
6697,'Information wants to be free'.,Inbal Talgam-Cohen|Peter Kinnaird,17052,Inbal Talgam-Cohen,16677,The paper highlights...
6698,"D-Lab-ICT: spreading ICT innovation: Cambridge, Massachusetts.",Jonathan Kola,17053,Jonathan Kola,16817,This paper is about...
6699,Elasticity in the cloud.,David Chiu,17054,David Chiu,16818,The study analyzes...
6700,Grafitter: leveraging social media for self reflection.,Anind K. Dey|Ian Li|Jodi Forlizzi,17055,Anind K. Dey,16819,The study analyzes...
6701,Efficient sensor placement for environmental monitoring.,Marinka Zitnik,17056,Marinka Zitnik,16679,This paper addresses...
6702,IT for synthetic biology and DNA nanotechnology.,Fumiaki Tanaka|Ibuki Kawamata|Masami Hagiya,17057,Fumiaki Tanaka,16822,This paper presents...
6703,Storm-chasing drones.,Eric W. Frew,17058,Eric W. Frew,16825,This paper is about...
6704,The crossroads community.,Casey Fiesler,17059,Casey Fiesler,16712,The study illustrates...
6705,The nature and limits of computation: a celebration of Alan Turing.,Arefin Huq,17060,Arefin Huq,16826,The paper discusses...
6706,Using software watermarking to discourage piracy.,Ginger Myles,17061,Ginger Myles,16827,The paper examines...
6707,Applying for postgraduate studies.,Vaggelis Giannikas,17062,Vaggelis Giannikas,16788,The research aims to explore...
6708,Profile Jeff Dean: Big data at Google.,Edward Z. Yang|Robert J. Simmons,17063,Edward Z. Yang,16828,The study analyzes...
6709,Using perception in managing unstructured documents.,Ching Kang Cheng|Xiaoshan Pan,17064,Ching Kang Cheng,16830,This paper is about...
6710,New directions in language processing.,Adrian Scoica|Daniel Bauer,17065,Adrian Scoica,16682,The study illustrates...
6711,AmazonViz: visualizing Amazon.com purchase orders.,Amit P. Sawant|Christopher G. Healey|Dongfeng Chen|Rada Chirkova,17066,Amit P. Sawant,16680,The study analyzes...
6712,Profile Peter Havelock: how does the world's largest IT company understand diversity?,Adrian Scoica,17067,Adrian Scoica,16682,This paper addresses...
6713,Satellite navigation.,Finn Kuusisto,17068,Finn Kuusisto,16731,The research evaluates...
6714,The secret behind the Luhn-ie.,Broderick Causley,17069,Broderick Causley,16835,This paper presents...
6715,C-Transformers: a framework to write C program transformations.,Akim Demaille|Alexandre Borghi|Valentin David,17070,Akim Demaille,16836,The paper discusses...
6716,AI and the rise of gaming middleware: an interview with Pierre Pontevia of Kynogon.,Audrey Christophory,17071,Audrey Christophory,16839,This paper demonstrates...
6717,LibraryThing: an interview with Tim spalding.,Anna Ritchie,17072,Anna Ritchie,16840,The paper discusses...
6718,A parallel algorithm for DNA alignment.,Rance Necaise|Thomas E. Royce,17073,Rance Necaise,16841,The research introduces...
6719,Introduction: computer graphics.,Iren Valova,17074,Iren Valova,16843,This paper addresses...
6720,Scientific computing in the age of complexity.,V. Balaji,17075,V. Balaji,16844,The study proposes...
6721,Literary freedom: project Gutenberg.,Bryan Stroube,17076,Bryan Stroube,16845,The study proposes...
6722,"How to be an ""entrepredemic"".",Jonathan Friedman,17077,Jonathan Friedman,16846,This study investigates...
6723,Creativity in code: generating rules for video games.,Michael Cook,17078,Michael Cook,16847,The study analyzes...
6725,"IBM Research-Almaden: San Jose, California.",Svetlana Yarosh,17080,Svetlana Yarosh,16848,The research aims to explore...
6726,Pseudorandomness and derandomization.,Luca Trevisan,17081,Luca Trevisan,16849,This paper is about...
6727,Big data.,Aditya G. Parameswaran|Andrew Cron|Huy L. Nguyen,17082,Aditya G. Parameswaran,16783,This paper demonstrates...
6728,Profile Geoffrey Hinton: unlocking the language of the brain.,Adrian Scoica,17083,Adrian Scoica,16682,The study illustrates...
6729,Ask Jack: CareerLine.,Jack Wilson,17084,Jack Wilson,16852,This paper addresses...
6730,Apple's mouse: 25 years later.,James Stanier,17085,James Stanier,16691,The study illustrates...
6731,Punch cards vs Java.,James Stanier,17086,James Stanier,16691,The research introduces...
6732,Profile Ken Museth: a career shaped by creativity.,Adrian Scoica,17087,Adrian Scoica,16682,This study investigates...
6733,The Many Dimensions of the Software Process.,Sebastian Tyrrell,17088,Sebastian Tyrrell,16853,This study investigates...
6735,Introduction.,Justin Solomon,17090,Justin Solomon,16706,This paper presents...
6736,Using software to liberate U.S. case law.,Harlan Yu|Stephen Schultze,17091,Harlan Yu,16854,The research aims to explore...
6737,An interview with Mendel Rosenblum.,Asaf Cidon|Tomer London,17092,Asaf Cidon,16762,This study investigates...
6738,How to review CS papers.,Santosh Kumar Kalwar,17093,Santosh Kumar Kalwar,16856,The paper compares...
6739,Graphics Libraries for Windows Programming.,M. Carmen Juan Lizandra,17094,M. Carmen Juan Lizandra,16857,The research reveals...
6740,"To err is human, to correct is divine.",Mariano Felice|Zheng Yuan,17095,Mariano Felice,16858,The research reveals...
6741,Of undergraduates and research.,Robert Aboukhalil,17096,Robert Aboukhalil,16748,The research aims to explore...
6742,Games for extracting randomness.,Moni Naor|Ran Halprin,17097,Moni Naor,16860,The study analyzes...
6743,My new PC is a mobile phone.,Christian Holz|Patrick Baudisch,17098,Christian Holz,16862,The research evaluates...
6744,Tech pack.,Daniel Gooch,17099,Daniel Gooch,16805,The paper highlights...
6745,MentorNet.,Daniel Gooch,17100,Daniel Gooch,16805,This paper demonstrates...
6746,Creativity and computing: an ACM student chapter initiative.,Ben Deverett,17101,Ben Deverett,16753,The research reveals...
6747,"Networking: more fun, less hassle.",Kostas Pentikousis,17102,Kostas Pentikousis,16864,The study proposes...
6748,Becoming a virtual organism to learn about genetics.,Alexander Bick,17103,Alexander Bick,16865,This study investigates...
6749,Introduction.,William Stevenson,17104,William Stevenson,16683,The paper discusses...
6750,Interfaces on the go.,Dan Morris|Desney S. Tan|T. Scott Saponas,17105,Dan Morris,16866,The study proposes...
6751,Programming the future.,James Stanier,17106,James Stanier,16691,The research aims to explore...
6752,Mathematics for the masses.,Jason Dyer,17107,Jason Dyer,16869,The study proposes...
6753,Interview Tricks from a Professional Recruiter.,Lynellen D. S. Perry,17108,Lynellen D. S. Perry,16870,The study illustrates...
6754,Pattern recognition: how hidden bias operates in tech startup culture.,Ana Díaz-Hernández|Freada Kapor Klein,17109,Ana Díaz-Hernández,16871,The paper examines...
6755,Preparing for a job in the games industry: an interview with ensemble studio's Colt McAnlis.,James Stewart,17110,James Stewart,16873,The research introduces...
6756,Introduction.,Jeremy T. Lanman,17111,Jeremy T. Lanman,16874,The research reveals...
6757,ACM career and job center.,Daniel Gooch,17112,Daniel Gooch,16805,This paper addresses...
6758,Desktop open source.,Bryan Stroubeé,17113,Bryan Stroubeé,16875,This paper presents...
6759,Introduction: WYSIWYG - More or less.,Fernando Berzal Galiano,17114,Fernando Berzal Galiano,16876,The study proposes...
6760,Composing on-demand intelligent PHYsical layers.,Aveek Dutta|Dola Saha,17115,Aveek Dutta,16877,The research reveals...
6761,An interview with Greg Schwartz.,James Stanier,17116,James Stanier,16691,The research aims to explore...
6762,Analyzing the Amazon Mechanical Turk marketplace.,Panagiotis G. Ipeirotis,17117,Panagiotis G. Ipeirotis,16879,The research introduces...
6763,Trends in real-time rendering: an interview with bioware's Ben Earhart.,James Stewart,17118,James Stewart,16873,The paper examines...
6764,Don't ask me: designing social Q&A services.,Gary Hsieh,17119,Gary Hsieh,16880,The paper examines...
